#_,_
button.back,Geri
settings.gameplay.title,Oynanış
settings.video.resolution,Çözünürlük
tutorial.advanced.separator,Gelişmiş Öğreticiler
button.newtag,YENİ
gameoptions.timer.slow,Eşzamanlı
gameoptions.timer.fast,Canlı
multiplayer.globalchat,Genel sohbet
button.account,Hesap
login.title.change.user,Kullanıcı değiştir
changepassword.title,Şifre değiştir
login.logoutbutton,Çıkış Yap
friends.removefreind,Arkadaşlıktan Kaldır
friends.addfriend,Arkadaş Ekle
friends.invitefriends.button,Arkadaşını davet et
friends.invitefriends.send,Göndermek
singleplayer.header.label,Challenges
button.no,Hayır
button.yes,Evet
prompt.continuesaved.desc,Kayıtlı bir oyunun var. Bu oyuna devam etmek veya yeni bir oyun başlatmak ister misiniz?
prompt.continuesaved.title,Oyuna Devam Et
prompt.continuesaved.buttonnewgame,Yeni oyun
button.continue,Devam et
login.title.create.account,Hesap oluştur
login.email,Email
createaccount.screenname,Kullanıcı Adı
login.password,Şifre
createaccount.reenterpassword,Şifreyi yeniden gir
button.cancel,İptal
button.close,Kapat
direbytes.header,Dire Wolf Haberleri
direbytes.none,Direwolf Haber Yok
direbytes.link,Link
direbytes.store,Mağaza
button.commit,İşlemek
button.submit,Göndermek
settings.feedback,Geri bildirim
settings.feedback.email.placeholder,Email
settings.feedback.placeholder,Sorunu buraya girin. Lütfen uygulanabilir olduğunda oyun modunuzu ekleyin.
settings.feedback.send,Göndermek
settings.feedback.sendlogs,Log gönder
login.forgotpassword,Parolanızı mı unuttunuz
login.forgotpassword.reset,Sıfırla
friends.title,Arkadaşlar
playonline.optionheader.password,Şifre
savedgames.joingame,Oyuna katıl
button.ok,Tamam
button.tutorial,Öğretici
mainmenu.localplay,Tek Oyunculu oyna
mainmenu.onlineplay,Çevrimiçi Oyna
button.shop,Mağaza
button.quit,Oyundan çık
mainmenu.leaderboards,Leaderboards
leaderboards.friendsonly,Sadece arkadaşlar
prompt.leaderboard.score.label,Puan
prompt.leaderboard.rank.label,Sıralama
prompt.leaderboard.name.label,İsim
login.title.log.in,Giriş yap
settings.login,Giriş yap
login.create.account,Hesap oluştur
changepassword.oldpassword,Eski Şifre
changepassword.newpassword,Yeni Şifre
multiplayer.gotogame,Oyna
multiplayer.playonline,Çevrimiçi Oyna
multiplayer.showpasswordgames,Şifreli Oyunlarını Göster
multiplayer.activetab,Aktif
lobby.nogames.label,Oyun yok
multiplayer.browsertab,Tarayıcı
multiplayer.columntimer,Zamanlayıcı
